frame,t_mono,time_boot_ms,t_unix_usec,lat,lng,alt_msl,alt_agl,yaw,pitch,roll,nsats,fix_type,lat_gpi_ms,lat_att_ms,det_idx,cx,cy,w,h,bearing_px,bearing_py,conf
1,920.9201,930680.8,1785688396654790,-22.9780388,-43.23219465917359,38.83,0.08,-33.66,0.18,-0.61,19,3,-41.2,-20.7,,,,,,,,
2,921.205,930967.8,1785688396939639,-22.9780388,-43.2321945,38.79,0.04,-33.66,0.17,-0.61,19,3,-53.3,-12.3,,,,,,,,
3,921.3116,931092.5,1785688397046298,-22.9780388,-43.23219444745623,38.77,0.02,-33.66,0.17,-0.61,19,3,-48.2,-6.9,,,,,,,,
4,921.4184,931197.7,1785688397153043,-22.978038742296015,-43.2321944,38.75,0.0,-33.66,0.17,-0.61,19,3,-42.9,-1.9,,,,,,,,
5,921.49,931268.2,1785688397224617,-22.9780387,-43.23219437178059,38.74,-0.01,-33.66,0.17,-0.61,19,3,-72.9,-27.2,,,,,,,,
6,921.597,931375.1,1785688397331645,-22.9780387,-43.2321943,38.73,-0.02,-33.66,0.16,-0.61,19,3,-63.1,-22.1,,,,,,,,
7,921.7041,931483.3,1785688397438761,-22.9780387,-43.23219425669949,38.71,-0.04,-33.66,0.16,-0.61,19,3,-57.6,-12.0,,,,,,,,
8,921.8111,931585.7,1785688397545790,-22.9780387,-43.2321942,38.7,-0.06,-33.66,0.17,-0.61,19,3,-58.7,-7.0,,,,,,,,
9,921.9186,931693.4,1785688397642875,-22.978038646570578,-43.23219414657058,38.68,-0.07,-33.67,0.17,-0.61,19,3,-42.5,-1.8,,,,,,,,
10,922.025,931802.9,1785688397749237,-22.9780386,-43.2321941,38.67,-0.08,-33.67,0.17,-0.61,19,3,-37.7,-1.8,,,,,,,,
11,922.0968,931875.2,1785688397821035,-22.9780386,-43.232194064795884,38.67,-0.08,-33.67,0.17,-0.6,19,3,-62.7,-22.1,,,,,,,,
12,922.2039,931983.3,1785688397928093,-22.9780386,-43.2321939566767,38.67,-0.08,-33.67,0.18,-0.6,19,3,-58.0,-12.0,,,,,,,,
13,922.3109,932090.4,1785688398035174,-22.9780386,-43.23219384957049,38.69,-0.07,-33.67,0.18,-0.6,19,3,-48.2,-7.0,,,,,,,,
14,922.418,932197.9,1785688398142268,-22.978038542147644,-43.2321938,38.7,-0.06,-33.67,0.17,-0.6,19,3,-42.9,-1.9,,,,,,,,
15,922.4895,932268.2,1785688398213753,-22.9780385,-43.23219377179022,38.71,-0.04,-33.68,0.17,-0.6,19,3,-72.8,-27.1,,,,,,,,
16,922.6321,932411.7,1785688398356389,-22.978038428319923,-43.2321937,38.74,-0.01,-33.68,0.16,-0.6,19,3,-27.6,-1.8,,,,,,,,
17,922.7037,932483.3,1785688398427904,-22.978038356743934,-43.23219365674394,38.76,0.01,-33.68,0.16,-0.6,19,3,-57.6,-12.0,,,,,,,,
18,922.8107,932583.7,1785688398534979,-22.978038256346252,-43.2321936,38.78,0.03,-33.68,0.15,-0.6,19,3,-63.8,-7.0,,,,,,,,
19,922.9182,932690.6,1785688398644903,-22.9780382,-43.2321936,38.81,0.05,-33.68,0.14,-0.6,19,3,-42.6,-1.9,,,,,,,,
20,923.0246,932802.9,1785688398751254,-22.978038137107532,-43.2321936,38.83,0.08,-33.68,0.14,-0.6,19,3,-37.6,-1.7,,,,,,,,
21,923.0964,932875.3,1785688398823061,-22.978038064699135,-43.2321936,38.84,0.09,-33.68,0.14,-0.6,19,3,-62.6,-22.0,,,,,,,,
22,923.2035,932983.4,1785688398930154,-22.978038,-43.2321936,38.86,0.11,-33.68,0.14,-0.6,19,3,-58.0,-12.0,,,,,,,,
23,923.3105,933090.5,1785688399037201,-22.978037949531984,-43.232193549531985,38.87,0.12,-33.68,0.14,-0.61,16,3,-48.1,-6.9,,,,,,,,
24,923.4176,933197.9,1785688399144218,-22.978037842117892,-43.2321935,38.88,0.12,-33.68,0.13,-0.61,16,3,-42.9,-1.8,,,,,,,,
25,923.4892,933268.3,1785688399215813,-22.9780378,-43.2321935,38.88,0.13,-33.68,0.13,-0.61,16,3,-72.8,-27.2,,,,,,,,
26,923.5962,933375.2,1785688399322828,-22.9780378,-43.23219346482568,38.88,0.13,-33.68,0.13,-0.6,16,3,-63.0,-22.1,,,,,,,,
27,923.7032,933483.3,1785688399429901,-22.9780378,-43.23219335666047,38.88,0.12,-33.68,0.14,-0.6,16,3,-57.6,-17.0,,,,,,,,
28,923.8103,933583.8,1785688399537000,-22.9780378,-43.2321933,38.87,0.12,-33.68,0.15,-0.61,16,3,-63.6,-6.9,,,,,,,,
29,923.9175,933690.6,1785688399645538,-22.9780378,-43.2321933,38.86,0.11,-33.68,0.15,-0.61,16,3,-42.5,-1.8,,,,,,,,
30,923.9892,933768.5,1785688399717294,-22.9780378,-43.232193271457625,38.85,0.1,-33.69,0.15,-0.61,16,3,-73.3,-27.2,,,,,,,,
31,924.096,933874.9,1785688399824075,-22.9780378,-43.2321932,38.83,0.08,-33.69,0.15,-0.62,16,3,-62.6,-22.1,,,,,,,,
32,924.2031,933983.4,1785688399931160,-22.978037756640614,-43.2321932,38.81,0.06,-33.69,0.15,-0.62,16,3,-58.1,-17.1,,,,,,,,
33,924.3101,934090.5,1785688400038203,-22.9780377,-43.2321932,38.79,0.04,-33.69,0.15,-0.63,16,3,-48.1,-6.9,,,,,,,,
34,924.4172,934197.9,1785688400145294,-22.97803775793494,-43.2321932,38.77,0.02,-33.69,0.15,-0.63,16,3,-42.9,-1.8,,,,,,,,
35,924.4887,934268.2,1785688400216809,-22.978037771801542,-43.2321932,38.75,0.0,-33.69,0.16,-0.64,16,3,-73.0,-27.2,,,,,,,,
36,924.6314,934411.6,1785688400359427,-22.9780377,-43.2321932,38.72,-0.04,-33.68,0.15,-0.65,16,3,-27.7,-1.9,,,,,,,,
37,924.7028,934483.2,1785688400430913,-22.9780377,-43.23219324315445,38.7,-0.05,-33.68,0.15,-0.65,16,3,-57.7,-17.1,,,,,,,,
38,924.8099,934583.6,1785688400537978,-22.9780377,-43.2321933,38.67,-0.08,-33.68,0.14,-0.66,16,3,-63.8,-6.9,,,,,,,,
39,924.9171,934690.5,1785688400645849,-22.97803764946136,-43.2321933,38.64,-0.11,-33.68,0.13,-0.66,16,3,-42.5,-1.8,,,,,,,,
40,925.0241,934803.1,1785688400752850,-22.9780376,-43.2321933,38.62,-0.13,-33.68,0.14,-0.67,16,3,-37.8,-1.8,,,,,,,,
41,925.0955,934874.9,1785688400824236,-22.9780376,-43.2321933,38.6,-0.15,-33.68,0.14,-0.67,16,3,-62.7,-22.1,,,,,,,,
42,925.2026,934983.2,1785688400931298,-22.9780376,-43.2321933,38.58,-0.17,-33.68,0.14,-0.68,16,3,-58.2,-17.2,,,,,,,,
43,925.3097,935087.9,1785688401038434,-22.9780376,-43.23219334790556,38.56,-0.19,-33.68,0.14,-0.68,16,3,-53.2,-6.9,,,,,,,,
44,925.4168,935195.7,1785688401145525,-22.9780376,-43.2321934,38.54,-0.21,-33.68,0.13,-0.68,16,3,-42.9,-1.9,,,,,,,,
45,925.4882,935268.2,1785688401216962,-22.978037571822355,-43.2321934,38.52,-0.23,-33.68,0.13,-0.68,16,3,-72.8,-32.2,,,,,,,,
46,925.5953,935375.1,1785688401324000,-22.9780375,-43.2321934,38.49,-0.26,-33.68,0.13,-0.68,16,3,-63.2,-22.2,,,,,,,,
47,925.7024,935483.2,1785688401431118,-22.9780375,-43.2321934,38.47,-0.28,-33.68,0.13,-0.68,16,3,-57.7,-17.1,,,,,,,,
48,925.8106,935584.2,1785688401539287,-22.9780375,-43.2321934,38.45,-0.31,-33.68,0.14,-0.68,16,3,-63.8,-6.9,,,,,,,,
49,925.9166,935689.8,1785688401641948,-22.978037450152815,-43.2321934,38.43,-0.32,-33.68,0.14,-0.68,16,3,-42.5,-1.9,,,,,,,,
50,925.9881,935768.3,1785688401713411,-22.9780374,-43.2321934,38.41,-0.34,-33.68,0.14,-0.69,16,3,-73.3,-32.3,,,,,,,,
51,926.0951,935873.2,1785688401820389,-22.9780374,-43.2321934,38.39,-0.36,-33.68,0.13,-0.69,16,3,-67.9,-22.2,,,,,,,,
52,926.2022,935980.3,1785688401927542,-22.9780374,-43.2321934,38.38,-0.37,-33.68,0.14,-0.69,16,3,-58.1,-17.1,,,,,,,,
53,926.3093,936087.9,1785688402034628,-22.9780374,-43.2321934,38.36,-0.39,-33.68,0.15,-0.69,17,3,-53.2,-6.9,,,,,,,,
